case_index,case_id,achievable_max_30,blocked_items,rationale
26,case_026,27,2.2 capped at 1: CURRENT_ENCOUNTER too sparse for >=80-word evidence-grounded HPI without drift | 3.1 capped at 1: limited encounter narrative makes robust 60+ word non-list HPI unreliable | 4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
27,case_027,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
28,case_028,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
29,case_029,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
30,case_030,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
31,case_031,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
32,case_032,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
33,case_033,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
34,case_034,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
35,case_035,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
36,case_036,27,2.2 capped at 1: CURRENT_ENCOUNTER too sparse for >=80-word evidence-grounded HPI without drift | 3.1 capped at 1: limited encounter narrative makes robust 60+ word non-list HPI unreliable | 4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
37,case_037,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
38,case_038,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
39,case_039,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
40,case_040,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
41,case_041,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
42,case_042,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
43,case_043,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
44,case_044,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
45,case_045,26,2.2 capped at 1: CURRENT_ENCOUNTER too sparse for >=80-word evidence-grounded HPI without drift | 2.2 capped at 0: very sparse encounter text (<30 words) | 3.1 capped at 1: limited encounter narrative makes robust 60+ word non-list HPI unreliable | 4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
46,case_046,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
47,case_047,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
48,case_048,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
49,case_049,28,2.2 capped at 1: CURRENT_ENCOUNTER too sparse for >=80-word evidence-grounded HPI without drift | 4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
50,case_050,28,2.2 capped at 1: CURRENT_ENCOUNTER too sparse for >=80-word evidence-grounded HPI without drift | 4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
51,case_051,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
52,case_052,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
53,case_053,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
54,case_054,27,2.2 capped at 1: CURRENT_ENCOUNTER too sparse for >=80-word evidence-grounded HPI without drift | 3.1 capped at 1: limited encounter narrative makes robust 60+ word non-list HPI unreliable | 4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
55,case_055,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
56,case_056,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
57,case_057,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
58,case_058,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
59,case_059,30,none,Heuristic cap model based on source completeness and known rubric constraints
60,case_060,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
61,case_061,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
62,case_062,27,2.2 capped at 1: CURRENT_ENCOUNTER too sparse for >=80-word evidence-grounded HPI without drift | 3.1 capped at 1: limited encounter narrative makes robust 60+ word non-list HPI unreliable | 4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
63,case_063,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
64,case_064,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
65,case_065,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
66,case_066,27,2.2 capped at 1: CURRENT_ENCOUNTER too sparse for >=80-word evidence-grounded HPI without drift | 3.1 capped at 1: limited encounter narrative makes robust 60+ word non-list HPI unreliable | 4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
67,case_067,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
68,case_068,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
69,case_069,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
70,case_070,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
71,case_071,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
72,case_072,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
73,case_073,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
74,case_074,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
75,case_075,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
76,case_076,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
77,case_077,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
78,case_078,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
79,case_079,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
80,case_080,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
81,case_081,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
82,case_082,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
83,case_083,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
84,case_084,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
85,case_085,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
86,case_086,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
87,case_087,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
88,case_088,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
89,case_089,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
90,case_090,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
91,case_091,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
92,case_092,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
93,case_093,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
94,case_094,30,none,Heuristic cap model based on source completeness and known rubric constraints
95,case_095,27,2.2 capped at 1: CURRENT_ENCOUNTER too sparse for >=80-word evidence-grounded HPI without drift | 3.1 capped at 1: limited encounter narrative makes robust 60+ word non-list HPI unreliable | 4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
96,case_096,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
97,case_097,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
98,case_098,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
99,case_099,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
100,case_100,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
101,case_101,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
102,case_102,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
103,case_103,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
104,case_104,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
105,case_105,30,none,Heuristic cap model based on source completeness and known rubric constraints
106,case_106,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
107,case_107,27,2.2 capped at 1: CURRENT_ENCOUNTER too sparse for >=80-word evidence-grounded HPI without drift | 3.1 capped at 1: limited encounter narrative makes robust 60+ word non-list HPI unreliable | 4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
108,case_108,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
